experiment,run,model,ME,RMSE_avg,LL
2,1,1,8.732627744268297e-5,0.006897866652178304,-0.11347328620391654
2,1,2,9.262839671589972e-5,0.002048698364697689,-0.11294030083814054
2,1,3,9.47254246704399e-5,0.0023244590589180892,-0.11292474202978149
2,2,1,1.6925321377233102e-5,0.006219751701345174,-0.10150182884022382
2,2,2,2.5583345121430754e-5,0.001585037611355442,-0.10132113264925145
2,2,3,2.6394738530591383e-5,0.0027959995395097706,-0.10127689803093001
2,3,1,6.60743708938387e-5,0.004437720445243286,-0.11644771463145998
2,3,2,7.593513210632613e-5,0.0037186119779613995,-0.11617607465109972
2,3,3,7.646308042754211e-5,0.0029691851849266014,-0.11614280411086507
2,4,1,0.0002666943492024566,0.004414261234475992,-0.10713349743474687
2,4,2,0.0002693176021820025,0.0015562488957508573,-0.10686355156781212
2,4,3,0.0002684560626681221,0.0013614770724682504,-0.10680285713509469
2,5,1,-0.00016185919077618303,0.004681141120371038,-0.11905538935531434
2,5,2,-0.00016285643251375204,0.0015736890097627907,-0.11869198467865107
2,5,3,-0.00016014279415025573,0.0012886465006387022,-0.11865883786659358
2,6,1,4.5368816877427636e-5,0.0063281225617147505,-0.12535575884551323
2,6,2,5.542868964559947e-5,0.004990696776644302,-0.12496760220556127
2,6,3,5.9966044746392994e-5,0.0044172193477585294,-0.12493937701437374
2,7,1,0.00013383710469017825,0.004387923414537263,-0.12006450904605463
2,7,2,0.00011431077939707904,0.00765117516180407,-0.11967611290840305
2,7,3,0.00011799012220438095,0.0020517880218404437,-0.11960822739206411
2,8,1,4.9783687100858144e-5,0.004802675587625221,-0.12559929398697822
2,8,2,6.782240320618003e-5,0.0034210529688036223,-0.12521727582832398
2,8,3,6.822516729841948e-5,0.0015879214696734858,-0.1251992205852069
2,9,1,-0.00043703332803117484,0.005608479422617493,-0.11049184572195307
2,9,2,-0.0004297754514002871,0.002394840057362162,-0.11025681744634233
2,9,3,-0.00042664051641351606,0.002373420841523388,-0.11022736606032767
2,10,1,0.00020969306897391675,0.004184523571488311,-0.1264389026303782
2,10,2,0.0002025515610653793,0.003001264483359691,-0.12619000104286168
2,10,3,0.000206950660546388,0.002798576887736722,-0.12617278109491545
2,11,1,-0.00014180487360747394,0.004438078616782436,-0.1026277516394355
2,11,2,-0.00015932124289212403,0.0009419687364579398,-0.10225360252594225
2,11,3,-0.00015522102289885838,0.0019778579147844127,-0.10223797474598297
2,12,1,5.3555659242539835e-5,0.0033964678952752014,-0.10846555465005706
2,12,2,5.543300596411683e-5,0.0036415856509628797,-0.10835545530628574
2,12,3,5.7543979192949165e-5,0.0021653374411570586,-0.10831979740911861
2,13,1,-0.00019671246583958008,0.007381591340204029,-0.1305794065886581
2,13,2,-0.00018490599921931693,0.0033494346894412685,-0.1302567936598628
2,13,3,-0.00018030024200723507,0.004921749644264161,-0.13023591377114668
2,14,1,-9.213711179779124e-6,0.006178473172041255,-0.10866003338875051
2,14,2,2.986731443454175e-6,0.003539425943136111,-0.10788286487465822
2,14,3,2.642895680954304e-6,0.0020302032389433555,-0.10787184501258272
2,15,1,0.00025400404996886656,0.005937651065000698,-0.1247788391736911
2,15,2,0.00026133031681711214,0.003305508454175918,-0.12455755822968982
2,15,3,0.00026823329103465026,0.0043286707037205815,-0.12449232727253495
2,16,1,0.0002520445306079929,0.006352614388452432,-0.10684808811301
2,16,2,0.0002585697056985044,0.0034033439492936243,-0.10661967668110259
2,16,3,0.0002601846415398243,0.004477042685221673,-0.10658613426164325
2,17,1,7.777437952152707e-5,0.003770074614640225,-0.11722533727123942
2,17,2,7.895501306654933e-5,0.005071306145543115,-0.11698971785309233
2,17,3,7.782881730722095e-5,0.0027847306265662347,-0.11692228311180079
2,18,1,-0.0003289105672370995,0.004801775644963007,-0.10186875700114652
2,18,2,-0.0003221837320217707,0.0027362702048532115,-0.10167859841099539
2,18,3,-0.00031889968807244834,0.0028452021903959688,-0.10164390778365909
2,19,1,0.00022830393689419088,0.005010308346895522,-0.10131484154325895
2,19,2,0.00022566032741168262,0.003231830665810836,-0.10089728925707953
2,19,3,0.0002235681797457387,0.0017900537008481354,-0.10087818092630149
2,20,1,-0.00018780534296742007,0.005410741772453421,-0.11374911562336376
2,20,2,-0.0001847998308979257,0.00657335033689572,-0.11361120962915428
2,20,3,-0.00018600286007241094,0.004258321420752163,-0.11357721347422013
2,21,1,-0.0002049308286016395,0.00523461475846635,-0.10957191718237407
2,21,2,-0.00021742086273007303,0.0025030615734856166,-0.10910122046260497
2,21,3,-0.0002146178974390993,0.002236367276843715,-0.10907425664600462
2,22,1,-8.72377584430343e-5,0.004511409732099873,-0.10969082467835231
2,22,2,-7.82019348281003e-5,0.004354868915917547,-0.10924639042341454
2,22,3,-8.543937000480326e-5,0.0016899077037542181,-0.10923686713015412
2,23,1,-0.00018664355525853035,0.00394836127944799,-0.12108955405689838
2,23,2,-0.0002008933326107513,0.002028836788544365,-0.1208785221434053
2,23,3,-0.00020095668612937165,0.0015261263280770079,-0.12087750294322015
2,24,1,0.0003802306692863794,0.0071913294585066595,-0.1111361483909159
2,24,2,0.00039508953786513204,0.003505284245616485,-0.11035705793445526
2,24,3,0.0003974406451468683,0.003376990518720286,-0.11031442421960697
2,25,1,-0.00037748520154040806,0.005656886915936232,-0.11216105246429832
2,25,2,-0.00038077173790548104,0.001903203612854797,-0.11146923231679223
2,25,3,-0.0003804332698555237,0.0019870190173136197,-0.11145978841780739
2,26,1,0.0005961784385439926,0.005926986111588517,-0.11500656362317668
2,26,2,0.0005931550630285692,0.002972015726329829,-0.1145979826416736
2,26,3,0.0005971668019368347,0.003649002041874967,-0.11457254950974975
2,27,1,8.493173397071813e-6,0.00346769231870534,-0.11328013308308088
2,27,2,1.446859235102781e-5,0.00257873077999818,-0.11313908411367846
2,27,3,1.3678898112291647e-5,0.002092502861418012,-0.11312009055198334
2,28,1,-8.621856261537388e-6,0.005282011633679748,-0.10806062273240225
2,28,2,1.372733844022143e-6,0.0023993012879408144,-0.10763983008707817
2,28,3,-7.500927165818325e-7,0.0022959925816699116,-0.1075829893401141
2,29,1,0.00032406928578356073,0.005622237737404108,-0.11818503836980504
2,29,2,0.0003354688035889394,0.0032314429935066265,-0.11776287841435225
2,29,3,0.0003329748196523391,0.002882611169512362,-0.11773807773649969
2,30,1,-5.273237285346619e-5,0.007124646258271222,-0.12687707695002448
2,30,2,-5.4834127860706645e-5,0.0030604678626217994,-0.12650035012019525
2,30,3,-5.464945847352809e-5,0.004803434994982203,-0.12646926152583848
2,31,1,4.010481093226855e-5,0.00418482423735162,-0.10423031709582002
2,31,2,3.2324763594932074e-5,0.003594725947670465,-0.1040371426124811
2,31,3,3.492200770925378e-5,0.0035485965723148706,-0.10401305883794025
2,32,1,7.639576927325606e-6,0.005640037873001989,-0.10960396521934576
2,32,2,2.7903637744632805e-7,0.003147570152684872,-0.10926930658113106
2,32,3,2.401521467777634e-6,0.0020617362156970668,-0.10923409688147655
2,33,1,-0.00047086599655518543,0.005533148065034594,-0.11523440652635723
2,33,2,-0.0004493829560665488,0.002869887131922305,-0.11484946967177441
2,33,3,-0.0004589178695945691,0.0026846072020234916,-0.11484041519164796
2,34,1,0.00027782012010579545,0.006154400480136096,-0.11186106827963485
2,34,2,0.0002753090179813882,0.002541146227634534,-0.11143025226785377
2,34,3,0.0002791296376634141,0.001963393756186935,-0.11139061612891452
2,35,1,-0.00016872103676713796,0.005387493807655136,-0.11828055715297735
2,35,2,-0.0001515578852286937,0.003954710322737509,-0.11796247742988175
2,35,3,-0.0001494391462532592,0.0033931093193209703,-0.11796043782903017
2,36,1,1.651774669768713e-5,0.005120596642362931,-0.11340062656586873
2,36,2,1.8588369229399804e-5,0.002698007929053701,-0.11302749586738928
2,36,3,1.6712913596796625e-5,0.0019359968473224361,-0.11301080069535524
2,37,1,0.0001484383653184757,0.003577346058170774,-0.11187452535000648
2,37,2,0.00016396447260588501,0.0022972405793739315,-0.11169806820540547
2,37,3,0.000159184968764504,0.001580204933572966,-0.11165942857769251
2,38,1,-0.00015303982427360073,0.005736928429709477,-0.10533623704966522
2,38,2,-0.00018780954831827467,0.0033304115548201873,-0.10491541546629
2,38,3,-0.00015369013728296644,0.003112980444668421,-0.1048782815769753
2,39,1,0.0003771468030987688,0.005350412806368092,-0.12357500063505392
2,39,2,0.0003776046183288025,0.005608314910336591,-0.123290192319896
2,39,3,0.00037723674652961783,0.004340454331487644,-0.12324367297104666
2,40,1,0.0004772630726975599,0.006065253191462457,-0.12451990489991706
2,40,2,0.00048674108292055086,0.0019862310359240807,-0.12403772058387427
2,40,3,0.00048139181472461347,0.002869945749231246,-0.1239959429346445
2,41,1,-0.0003422980691389229,0.004026864888218557,-0.12136735461686857
2,41,2,-0.0003387959243040209,0.002943239229284066,-0.12124851984835326
2,41,3,-0.0003385930415121477,0.0030037057939437182,-0.12121955620855442
2,42,1,-7.236081260289939e-5,0.005617200943867757,-0.112440231272986
2,42,2,-5.551427066697036e-5,0.00265872547624347,-0.11191524410869708
2,42,3,-5.375819787682177e-5,0.002900691126534811,-0.11187153755233713
2,43,1,-0.00019940545091010243,0.004009346923728494,-0.11105691654338234
2,43,2,-0.00021933045427432435,0.002859843602118517,-0.11084935004731683
2,43,3,-0.00021721506882072867,0.002092505737424383,-0.11080831520472306
2,44,1,-0.0003418726063594202,0.004084722893279104,-0.11446732835774104
2,44,2,-0.0003221927744156549,0.0029666613365106685,-0.11424775639808768
