model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,run
GLM_ignore_cat,0.3344555715924235,0.27903189842047693,0.1496185706911585,0.43067192445776736,0.3295634448044671,0.26935412163093,0.27095029664447595,0.23937663723609334,1
GLM_one_hot,0.2751668549495794,0.23267455478753485,0.12753327690789762,0.3449523457950197,0.5698868018066579,0.08432377263416763,0.08330997818289695,0.1942533351188446,1
GLM_GLMM_enc,0.27593232008891494,0.23501568073138024,0.1266798614744971,0.34601646206953585,0.5672290642596928,0.08770225528780179,0.08766540084721595,0.19474984637217313,1
GBM_ignore_cat,0.3132773727065654,0.2540587741547621,0.14012830276547622,0.40358903086561854,0.4112332549109059,0.2659005819048727,0.2682901494716261,0.22424082279824334,1
GBM_one_hot,0.2914712517126139,0.2453502159820785,0.1327497893051443,0.36994362363383354,0.5053071238045693,0.19816017546919926,0.19913577307854646,0.20773238312505732,1
GBM_GLMM_enc,0.2510061553227303,0.21329758998686943,0.11694088293680617,0.31565181632750117,0.6398518822528645,0.0918680525847575,0.09103279548025311,0.17775568043970588,1
NN_ee,0.2586812854198274,0.22096976229650922,0.11940119864135035,0.3238069230875763,0.6210020824527656,0.0963661519408387,0.09708607407634359,0.18299330712777145,1
GBM_ee,0.28982318561543713,0.23924494738200996,0.13032459018598708,0.3709308740923491,0.5026632753735325,0.2103558515717465,0.2110774306290963,0.20730564059359763,1
GLMM,0.2752168197171599,0.23182466896337683,0.12861295984602072,0.34516274545250464,0.5693619567428578,0.08539301756674225,0.08439601508375368,0.19430793975240043,1
GPBoost,0.25799311566413696,0.21705925121900016,0.12169011828672606,0.32390934660123005,0.6207622825292237,0.07803109379602272,0.07699290918568556,0.18272030803350928,1
GLMMNet,0.25333287214270384,0.2137115826136281,0.1152319057790609,0.31692843606575805,0.6369328308074503,0.08701511762070309,0.08661736687712644,0.18007197839093197,1
GLMMNet_dropout,0.36220118453046696,0.3153748008672921,0.18157091641076617,0.44891622808942744,0.2715576707693277,0.31600519763935814,0.3181904448118541,0.2693435966871266,1
GLM_ignore_cat,0.3362302545611112,0.2800949236091044,0.15850896473207765,0.41915507237434035,0.32730555616415125,0.25362528876074786,0.253085742830734,0.23674053536574144,2
GLM_one_hot,0.2726329752126168,0.2278871160069389,0.1269401460892784,0.34291960039570313,0.5497507414268716,0.0778382246989685,0.07876123268849425,0.1931222218895751,2
GLM_GLMM_enc,0.2735327751002668,0.22668510781844065,0.12621662858591265,0.3447447371310258,0.5449452224445228,0.08612155363571146,0.08614846020104971,0.19413633741533967,2
GBM_ignore_cat,0.31250055700095286,0.266447581602562,0.15053984086824962,0.38946364814066153,0.4192325821784151,0.2503940425536549,0.249539456498516,0.22006609202649616,2
GBM_one_hot,0.2937635815434897,0.2546518448500677,0.14067901892105944,0.36493503136279465,0.4900829918911378,0.19291316127553973,0.19080497819123876,0.20649122006596946,2
GBM_GLMM_enc,0.24876334511905007,0.2143287453435394,0.11848091525033161,0.3111665787004847,0.6292729477710062,0.0842386977443875,0.08251671083614842,0.1757449781937064,2
NN_ee,0.24743514057475924,0.21271474938593377,0.11634346739928315,0.3091261793025719,0.6341189129130855,0.07870457886288017,0.0785607468147787,0.174552685780979,2
GBM_ee,0.2900551992001977,0.24772366804958823,0.14049792265845557,0.3622962692997422,0.4974305187635377,0.19694247690356034,0.19732625676606905,0.20450760826202383,2
GLMM,0.2726010865306475,0.22857059927992995,0.12648704844969444,0.3428775869321525,0.5498610610002883,0.07715025945024706,0.07785935507421535,0.19314464177797655,2
GPBoost,0.255434454209967,0.216757968537316,0.11985478617108566,0.31866952842881585,0.6111792230295261,0.07583689677643238,0.07634339440962341,0.1803278374015697,2
GLMMNet,0.2398846990774733,0.20243894702088494,0.11409782392706744,0.2985896456595775,0.6586358770704147,0.07325340766432577,0.07348615130195069,0.1693088171139678,2
GLMMNet_dropout,0.3764838484041769,0.3405888350374505,0.19756850706287496,0.4554854173176784,0.20564004418960158,0.3337195499251063,0.33511452987049434,0.27581664017121477,2
GLM_ignore_cat,0.3465992709032293,0.28998650723603936,0.16358350594594756,0.4380343154268144,0.3125875937755991,0.273761965170889,0.2706813390778537,0.2453008749636425,3
GLM_one_hot,0.28141818358674736,0.23326602632558158,0.12938278376453077,0.35599877318178635,0.5459558338000003,0.09159421637040076,0.09161130332980336,0.19962123089403558,3
GLM_GLMM_enc,0.2816727904130854,0.23207238907756023,0.13003291728775115,0.35673730031033907,0.5440700309380158,0.09519523462016335,0.09460034806562008,0.19996472872733523,3
GBM_ignore_cat,0.3310538465290437,0.28354001867188905,0.15593176199057818,0.415178064829569,0.38245316832112497,0.2719728085738954,0.2691756447178336,0.23319486891966118,3
GBM_one_hot,0.3093241647299483,0.26789220984451967,0.14530843181709174,0.3880365023346327,0.46055613297397646,0.2117256020517625,0.20988524321593913,0.21806431004304658,3
