model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,NLL,run
GLM_ignore_cat,0.2630926714179103,0.2233054540145868,0.3044748525869848,0.3292763237115675,0.21344438163296664,0.09626868659238204,0.09629915229142323,0.18570953499765813,0.3080805421787316,1
GLM_one_hot,0.25845976844907065,0.21849013725297284,0.30652827434307117,0.32498242821236384,0.2338246285103046,0.08048512845813953,0.07955407864116504,0.18301582251975274,0.2949543680517176,1
GLM_GLMM_enc,0.25757395619589213,0.21738732280595632,0.3002746026184262,0.32397077767983723,0.2385873186321935,0.07617024205241242,0.07588218227177111,0.18247886596891977,0.29183657360110954,1
GBM_ignore_cat,0.25604510459302865,0.21766493144137855,0.29973671934243784,0.3208764354358688,0.2530628195942084,0.09410204580659408,0.09428668366575593,0.18075227107494635,0.2822393669086841,1
GBM_one_hot,0.25478448912441265,0.21485009701159838,0.296710036468416,0.3195449846935729,0.259248669561848,0.08812252001565543,0.08808523470364982,0.1799865236799732,0.2780813152921173,1
GBM_GLMM_enc,0.2507984590356251,0.2138805474590856,0.2933630234497937,0.315399565144239,0.27834336429889905,0.07490767819436688,0.07408733139793279,0.17759256715965374,0.2650235500068294,1
NN_ee,0.2579331234452571,0.21759303266779112,0.3000158607298126,0.32458899581726297,0.23567861026901338,0.08144621809301218,0.08145499648118643,0.18298005079062,0.2937430079805797,1
GBM_ee,0.25537565803441215,0.21747798556228115,0.29687040495300066,0.3203764958680761,0.25538852821516966,0.09210990916035633,0.09204332825496801,0.18038022379051413,0.2806801080119879,1
GLMM,0.25789603677973144,0.21769154244534775,0.3018222890234399,0.32369201293120453,0.239897089207751,0.07479183804023076,0.07392509647545904,0.18240673413863467,0.29098647290259116,1
GPBoost,0.25842866795367053,0.22214690819243282,0.3054203031120081,0.32373353639370483,0.23970206351754342,0.07488705985002282,0.07380168776217207,0.18255615513492904,0.29442050533812203,1
GLMMNet,0.2588073511406319,0.21981454065964384,0.3015969549074595,0.3248593327015468,0.23440493611370117,0.07920905809213118,0.07935028884874305,0.18423323853996154,0.32327640142187075,1
GLMMNet_l2,0.25288325510246756,0.21888283642462847,0.30231199373005274,0.3178837917363251,0.2669304196797512,0.08162100817425703,0.08140903224407386,0.17905649464988901,0.27570473509032506,1
GLM_ignore_cat,0.2678901671315072,0.2332230146810098,0.3286561817739301,0.33401656648465444,0.2026499575103401,0.09811681167302803,0.09705445028702978,0.18880190022279703,0.3223738462226407,2
GLM_one_hot,0.26451869366379815,0.2297379043536058,0.3282284821258088,0.32935077407328234,0.22477033354720533,0.0802991402886866,0.0800086124777526,0.18620142776370835,0.3083066196124794,2
GLM_GLMM_enc,0.26415262361647573,0.22848858306321296,0.3224588883258529,0.3287957140448924,0.22738114511763674,0.07806685908731098,0.07753976397907777,0.1858760953901685,0.30661988217633096,2
GBM_ignore_cat,0.2586242746286156,0.2233445314779609,0.30888175678131596,0.3226144283108278,0.2561581998439113,0.09636601018991658,0.09597152497409614,0.18235277348002651,0.28764114399356894,2
GBM_one_hot,0.2575174983829993,0.22272639160631205,0.31051314921194184,0.3210657889274275,0.2632823566236009,0.0876581882919127,0.08680462342415285,0.1814944540814156,0.28282930628286435,2
GBM_GLMM_enc,0.2552002028847265,0.21781183278703128,0.30461751579204244,0.31824613167046567,0.2761655086062713,0.07737948161779927,0.07735065090537001,0.17986693048823682,0.2740083365837143,2
NN_ee,0.25833500957870437,0.22385688733918024,0.31911343437439976,0.32223914986263663,0.25788772843189833,0.08034244743591927,0.08037420102694506,0.182118025535791,0.286477225537475,2
GBM_ee,0.257714524432953,0.2238146207799696,0.3088226567517389,0.3210716948468398,0.2632552529258595,0.08992491200966099,0.08945496533899762,0.18152112826588426,0.2828477008465261,2
GLMM,0.26392570558317646,0.2286944740025511,0.323090188806488,0.32854671043403416,0.22855094160825817,0.07625044114507258,0.07562107784095112,0.18579110308853541,0.3059215960239407,2
GPBoost,0.25953700186170503,0.21590853049351943,0.31073704426428284,0.3257187827599346,0.24177410366587127,0.07528196666232026,0.07455567423199554,0.1839763643598168,0.30265761365325594,2
GLMMNet,0.2602644106780388,0.2215980447141018,0.3145392624645017,0.3269887382575419,0.23585003441873076,0.08062887584749726,0.0800633529916336,0.18538945058789236,0.3212581793196646,2
GLMMNet_l2,0.25472956934433816,0.21468409530201107,0.3005007781204009,0.3180455765681118,0.2770775257165047,0.08453155973771671,0.08345303730186109,0.17993618952708468,0.27799331463124916,2
GLM_ignore_cat,0.26530651764142377,0.22155853901151942,0.299556335330596,0.33397853798451876,0.2179396982794134,0.09790174541839433,0.09634011417445261,0.18806058102116227,0.32225998760325153,3
GLM_one_hot,0.2613395772877773,0.21902979586999577,0.29478803443556995,0.3288797232318277,0.24163667979022307,0.07656611889824791,0.07674954750441577,0.18549018358421998,0.3068753552642116,3
GLM_GLMM_enc,0.26095496251383893,0.2187794589131521,0.2951504578551349,0.32832110973411127,0.24421070415358637,0.07472720342426205,0.07451908249694364,0.18505209743910142,0.3051753767972802,3
GBM_ignore_cat,0.2569453080197998,0.21623838291407543,0.2839964277346695,0.3222811992737724,0.27176245633015295,0.09531104862729745,0.09348385741550991,0.18183549385528638,0.28660770834147586,3
GBM_one_hot,0.2561502294455833,0.21558393118498548,0.2841354125833608,0.3210601576357827,0.2772702170857141,0.08452368200803319,0.0839554451792623,0.1811986111518022,0.2828117667591151,3
GBM_GLMM_enc,0.25427106445748215,0.21444095865946936,0.2852988066149023,0.31824983960157066,0.28986730292737184,0.07700803424980393,0.07624062905367153,0.17967276845014152,0.27401998765857527,3
NN_ee,0.25647552099195364,0.21302590394341947,0.2922473495242912,0.3234137501146461,0.2666351623506177,0.07664021926933513,0.07688652299229048,0.1823848834709017,0.2901157178230101,3
GBM_ee,0.2570112969202579,0.21715280510114504,0.28382963037291564,0.3222392089894236,0.27195220931311237,0.09129589375048379,0.08965840794816538,0.18184597687734302,0.2864774090247437,3
GLMM,0.2605201158623819,0.219881407888174,0.29561839445281524,0.3280611929037044,0.24540687823552976,0.07317092485632581,0.07308976544100802,0.18493499159518784,0.30438350939315056,3
GPBoost,0.2574863368091048,0.21534897935813824,0.29166520051451406,0.32237409133482614,0.27134259171727493,0.07177466354181895,0.07172530674933031,0.18198200560374722,0.2888940016446606,3
GLMMNet,0.2547988696500545,0.20969014422678273,0.29487932945818635,0.3204662710555582,0.2799415080004388,0.0786009095420739,0.07867711368879823,0.1810046381325306,0.2917685684249229,3
GLMMNet_l2,0.25072883249281636,0.2072608176618483,0.275785024627339,0.31607322057864123,0.29954776400627836,0.08749301968992147,0.08692829081014364,0.17827573466898317,0.26810723847476364,3
GLM_ignore_cat,0.26438661184642026,0.223706712523656,0.30406875983478465,0.33129301742735023,0.22204082044557183,0.10164986213784441,0.09990837886505403,0.18684449676661874,0.3141864870230004,4
GLM_one_hot,0.2604937865270178,0.2231115687299723,0.2977341372525176,0.32559621142448325,0.24856584629419198,0.07983220578643602,0.07891421154998178,0.18392054097597274,0.2968412526090343,4
GLM_GLMM_enc,0.26027757707964955,0.21841099343830556,0.2976516656368011,0.3254792657505018,0.24910554048543598,0.07968708211401712,0.07847124871655088,0.18375796309643447,0.29648201415100933,4
GBM_ignore_cat,0.2545279978777257,0.21495020594205222,0.29024352825564487,0.3202676316762299,0.272959939958604,0.0981652284818211,0.09680955128768365,0.18045305804737666,0.28034024945959213,4
GBM_one_hot,0.25305402255787596,0.21370376015802917,0.28734502311936416,0.31862369445776395,0.28040459304097376,0.091973466485804,0.09016482022847218,0.1795487601108659,0.27519401948480726,4
GBM_GLMM_enc,0.2509628129516391,0.2104376578057328,0.28338533035732294,0.3158009650375861,0.2930980977862817,0.08172127454173228,0.08026491659821805,0.1780598397199873,0.26629541188990263,4
NN_ee,0.2588258486376531,0.2222441263911718,0.2911587109002132,0.3237022322640236,0.25728254034258513,0.08400222318945509,0.0829408685366285,0.18284420608658702,0.29100731122000073,4
GBM_ee,0.2538014190333496,0.21320039269432522,0.28509325180656664,0.31946310542428585,0.27660806472011457,0.09481658771367214,0.09330364324490019,0.1800140214804657,0.2778250453919349,4
GLMM,0.26021791250777493,0.22025565758681837,0.2970443417582669,0.32565120674185793,0.24831198062634885,0.0804205867823604,0.07902174428077063,0.18382557585508652,0.29701156556886127,4
GPBoost,0.25598838395025786,0.21301442236640294,0.28859657994261034,0.3215124192509835,0.2672973684078708,0.07877060287468428,0.07725878414743248,0.18152389929356158,0.2870235462383176,4
